word,embeddings
the,"[-0.1301133632659912, 0.11660371720790863, 0.16975678503513336, -0.027505602687597275, 0.11933200061321259, -0.1491280049085617, 0.14074395596981049, 0.5861175656318665, -0.31187689304351807, -0.1459171175956726, -0.0609731450676918, -0.33980873227119446, -0.07136408239603043, 0.020734503865242004, 0.15633466839790344, -0.12611408531665802, 0.03250234201550484, -0.16866742074489594, -0.08492124825716019, -0.3324279487133026, 0.14251840114593506, -0.13754487037658691, 0.35270044207572937, 0.03727410361170769, -0.03805283084511757, -0.08462440967559814, -0.2810228765010834, -0.12990480661392212, -0.17807969450950623, -0.0490192286670208, 0.32342228293418884, -0.27964890003204346, 0.1294662058353424, -0.15652823448181152, 0.07814686000347137, 0.2500110864639282, 0.02170111984014511, 0.03946918249130249, -0.11600127071142197, -0.1311122328042984, 0.14958339929580688, -0.18954715132713318, -0.262015700340271, -0.0442335344851017, -0.09858400374650955, -0.07000984251499176, -0.21476227045059204, 0.003301145974546671, 0.21543161571025848, 0.36748626828193665, 0.20428384840488434, -0.2712917625904083, -0.02466404251754284, 0.1795894205570221, -0.0425381176173687, 0.08616860210895538, 0.21385858952999115, 0.013760262168943882, -0.17310209572315216, 0.1251242607831955, 0.024157077074050903, 0.012184754945337772, 0.050113581120967865, -0.013173909857869148, -0.08866582065820694, 0.1828124225139618, 0.12367326021194458, 0.1662733107805252, -0.2190936654806137, 0.3090834617614746, -0.11179189383983612, 0.2200813889503479, 0.12382407486438751, -0.12215463817119598, 0.16991989314556122, -0.10185105353593826, -0.02530551701784134, 0.15009433031082153, -0.1344282478094101, 0.0890929326415062, -0.13330262899398804, -0.14241881668567657, -0.21878977119922638, 0.17520537972450256, -0.1028510257601738, -0.04730098322033882, -0.01702454499900341, 0.08743181079626083, 0.12798310816287994, 0.05379233509302139, 0.3114069402217865, -0.1275486946105957, -0.07445298135280609, 0.0940680056810379, 0.37165266275405884, 0.14356976747512817, 0.04612942412495613, -0.04219039902091026, -0.0854511633515358, -0.15131963789463043]"
.,"[-0.06972580403089523, 0.07507974654436111, 0.1407463401556015, -0.0030747095588594675, 0.06275400519371033, -0.12585321068763733, 0.13075515627861023, 0.5027925372123718, -0.2988712787628174, -0.12658385932445526, -0.06021177023649216, -0.304258793592453, -0.036438483744859695, 0.0413416251540184, 0.111568883061409, -0.13551920652389526, 0.026220306754112244, -0.1356993168592453, -0.04238307848572731, -0.3073730766773224, 0.12501002848148346, -0.08898863196372986, 0.28971317410469055, 0.09237653017044067, -0.018817566335201263, -0.07178211957216263, -0.2586972713470459, -0.09912532567977905, -0.18770170211791992, -0.04974111542105675, 0.2769237756729126, -0.23111383616924286, 0.16948679089546204, -0.141638845205307, 0.07789506018161774, 0.24091818928718567, -0.003139240900054574, -0.016801482066512108, -0.17362675070762634, -0.20120593905448914, 0.08095984905958176, -0.17864251136779785, -0.19714026153087616, -0.00816971156746149, -0.07238544523715973, -0.09302902966737747, -0.23559825122356415, -0.006342198699712753, 0.17995907366275787, 0.2907974421977997, 0.14197248220443726, -0.2447967231273651, -0.013190477155148983, 0.11761017143726349, -0.047576308250427246, 0.05744006112217903, 0.12165243923664093, -0.021112211048603058, -0.1643361747264862, 0.049488525837659836, 0.06039697304368019, 0.014817390590906143, 0.039930298924446106, -0.010910010896623135, -0.12931928038597107, 0.18316467106342316, 0.11736401915550232, 0.20628105103969574, -0.22286231815814972, 0.29337990283966064, -0.08436096459627151, 0.23544427752494812, 0.1327945590019226, -0.08326327055692673, 0.20520345866680145, -0.00936828088015318, -0.014357036910951138, 0.1385030448436737, -0.14678966999053955, 0.107051782310009, -0.07811611890792847, -0.15812598168849945, -0.21383050084114075, 0.18891151249408722, -0.09661269932985306, -0.04021347686648369, -0.012658672407269478, 0.07137620449066162, 0.08278526365756989, 0.10965944081544876, 0.3213733732700348, -0.10904546827077866, -0.05645507574081421, 0.1452874094247818, 0.3612949848175049, 0.12661737203598022, 0.026163741946220398, -0.012207365594804287, -0.06200791150331497, -0.1622725874185562]"
to,"[0.0755564272403717, -0.014600292779505253, 0.08172180503606796, 0.1144980862736702, 0.05193537101149559, -0.12521281838417053, 0.10396923124790192, 0.49214717745780945, -0.3308848440647125, -0.11965516954660416, -0.02574862912297249, -0.24500901997089386, 0.05069925636053085, 0.13916988670825958, 0.048011746257543564, -0.12218788266181946, 0.0642051249742508, -0.11442545056343079, -0.00892298761755228, -0.37955644726753235, 0.10256607085466385, 0.020680759102106094, 0.3367612957954407, 0.031086420640349388, 0.07132602483034134, -0.003463057102635503, -0.259883850812912, -0.15453489124774933, -0.22328975796699524, 0.059012677520513535, 0.22901612520217896, -0.19100722670555115, 0.24770228564739227, -0.16367709636688232, -0.013852124102413654, 0.3335488438606262, -0.10607443004846573, -0.09126222133636475, -0.2684246897697449, -0.29856589436531067, 0.0009633115259930491, -0.169666588306427, -0.13645122945308685, -0.08529099076986313, -0.03188827633857727, -0.11104770004749298, -0.23322854936122894, -0.09121840447187424, 0.10401472449302673, 0.19785605370998383, 0.12793855369091034, -0.2309260070323944, -0.11047672480344772, 0.13624142110347748, -0.09278521686792374, -0.03832363709807396, 0.0979665145277977, -0.059585388749837875, -0.1749029904603958, 0.002464268822222948, 0.14201472699642181, 0.015995191410183907, 0.09297052025794983, 0.002303740940988064, -0.19967636466026306, 0.2757149040699005, 0.09373065084218979, 0.2146444320678711, -0.31273356080055237, 0.3302563428878784, -0.020573437213897705, 0.2117159217596054, 0.13887251913547516, 0.04424702376127243, 0.2535344362258911, 0.03294369950890541, -0.09541823714971542, 0.11131785064935684, -0.18948392570018768, 0.167227640748024, -0.03127390891313553, -0.15491119027137756, -0.276648610830307, 0.16940121352672577, -0.1160229966044426, -0.07066687196493149, 0.07372528314590454, 0.06543390452861786, 0.11448930203914642, 0.16561461985111237, 0.37414875626564026, -0.052332185208797455, -0.008533844724297523, 0.2519296407699585, 0.34873121976852417, 0.11975573748350143, -0.0022862532641738653, 0.01853022165596485, -0.13367681205272675, -0.19641615450382233]"
a,"[-0.034716058522462845, 0.08612929284572601, 0.14377214014530182, 0.08675829321146011, 0.026358913630247116, -0.15278197824954987, 0.14756858348846436, 0.45962104201316833, -0.3216521143913269, -0.11287941038608551, -0.041530754417181015, -0.3026774823665619, 0.015268589369952679, 0.085459865629673, 0.10659793764352798, -0.12632976472377777, 0.0016512629808858037, -0.12381253391504288, -0.07072628289461136, -0.311066210269928, 0.1303592175245285, -0.041446391493082047, 0.2911754548549652, 0.05149191990494728, 0.028786057606339455, -0.01105502899736166, -0.2702621817588806, -0.16306476294994354, -0.16075611114501953, -0.03184448927640915, 0.27555209398269653, -0.2163296937942505, 0.19439628720283508, -0.09883297234773636, 0.08891013264656067, 0.2813800275325775, -0.05463339760899544, -0.04026814550161362, -0.18227486312389374, -0.259579598903656, 0.023941999301314354, -0.15613411366939545, -0.16334697604179382, -0.03046700730919838, -0.08459186553955078, -0.11836516857147217, -0.23015347123146057, -0.0271608866751194, 0.13727298378944397, 0.2990313172340393, 0.13532301783561707, -0.2509661316871643, -0.06583130359649658, 0.13125617802143097, -0.03001353144645691, 0.0476522222161293, 0.10318280011415482, -0.014061320573091507, -0.1386195421218872, 0.026081763207912445, 0.06954485177993774, 0.01021815836429596, 0.04429180920124054, -0.024785060435533524, -0.20635786652565002, 0.18757548928260803, 0.08783961832523346, 0.22112686932086945, -0.25315338373184204, 0.2919082045555115, -0.07911518961191177, 0.2233767807483673, 0.16397824883460999, -0.04686913639307022, 0.1926451474428177, 0.03098929114639759, -0.10444632172584534, 0.09289909899234772, -0.22518716752529144, 0.16527828574180603, -0.025111759081482887, -0.1292092353105545, -0.20415234565734863, 0.16904404759407043, -0.07758212834596634, -0.038453396409749985, 0.016512583941221237, 0.038930170238018036, 0.07512901723384857, 0.14954118430614471, 0.3279217481613159, -0.1020955890417099, -0.05386824160814285, 0.1897435188293457, 0.37674105167388916, 0.14156650006771088, 0.006259243935346603, 0.00893548596650362, -0.04971768707036972, -0.17518498003482819]"
of,"[-0.08595574647188187, 0.009396165609359741, 0.12517665326595306, -0.016666758805513382, 0.03350816294550896, -0.13426363468170166, 0.06674138456583023, 0.38929057121276855, -0.2801104485988617, -0.14334607124328613, -0.06286469101905823, -0.3038380742073059, -0.08838497847318649, 0.09788092970848083, 0.09969541430473328, -0.09757617115974426, -0.010160057805478573, -0.1614316701889038, 0.03659643232822418, -0.207368865609169, 0.09486841410398483, -0.12728890776634216, 0.19711346924304962, 0.08266584575176239, 0.049652330577373505, -0.0948576107621193, -0.3129372000694275, -0.19009390473365784, -0.11759977787733078, -0.06592895835638046, 0.30974507331848145, -0.2020106464624405, 0.08329989016056061, -0.02947661094367504, 0.13523945212364197, 0.22298972308635712, -0.06710565090179443, -0.08462713658809662, -0.14227545261383057, -0.25247082114219666, 0.026637354865670204, -0.16410896182060242, -0.16086523234844208, -0.0072823334485292435, -0.0816267654299736, -0.03102525882422924, -0.31930598616600037, 0.014679827727377415, 0.15186427533626556, 0.35372522473335266, 0.17669573426246643, -0.26397252082824707, 0.020343998447060585, 0.16113074123859406, -0.020488819107413292, 0.06350317597389221, 0.13273054361343384, -0.004962662234902382, -0.1811254769563675, 0.04021226242184639, 0.0037385127507150173, 0.03682703152298927, -0.03640195354819298, -0.06508766859769821, -0.22217155992984772, 0.09312668442726135, 0.10584254562854767, 0.15122835338115692, -0.16098107397556305, 0.2653338611125946, -0.14118917286396027, 0.20892541110515594, 0.11866254359483719, -0.1844402551651001, 0.23528137803077698, -0.057248685508966446, -0.047019004821777344, 0.08583522588014603, -0.17358610033988953, 0.14227260649204254, 0.030143439769744873, -0.16307884454727173, -0.21898308396339417, 0.19336363673210144, -0.06379904597997665, -0.06528135389089584, -0.16903428733348846, 0.10291308909654617, 0.042814865708351135, 0.1372314989566803, 0.3191710114479065, -0.09088287502527237, -0.10626023262739182, 0.23571574687957764, 0.40974920988082886, 0.13769952952861786, -0.0100563308224082, -0.0487637035548687, 0.021524973213672638, -0.17438921332359314]"
in,"[-0.022351128980517387, 0.01773611269891262, 0.1518099159002304, 0.021055463701486588, 0.07503074407577515, -0.14470383524894714, 0.1153302863240242, 0.48490652441978455, -0.32746946811676025, -0.12830688059329987, -0.06240012124180794, -0.31200936436653137, -0.047728538513183594, 0.10061059892177582, 0.09886684268712997, -0.11935532838106155, -0.012951764278113842, -0.15563783049583435, -0.05252033472061157, -0.31957340240478516, 0.1308647096157074, -0.06510511785745621, 0.2864334285259247, 0.06679152697324753, -0.008908207528293133, -0.05402253568172455, -0.2865024209022522, -0.19650034606456757, -0.17009630799293518, -0.0490495003759861, 0.28363388776779175, -0.22564473748207092, 0.13507333397865295, -0.12826578319072723, 0.07877543568611145, 0.28104978799819946, -0.017154475674033165, -0.007947205565869808, -0.196745365858078, -0.23099131882190704, 0.04783148318529129, -0.19293461740016937, -0.20413526892662048, -0.0024874284863471985, -0.05991090089082718, -0.03506971895694733, -0.2891296148300171, -0.002561187604442239, 0.15629929304122925, 0.33455225825309753, 0.16438309848308563, -0.24235068261623383, -0.004087958484888077, 0.16657647490501404, -0.04249456152319908, 0.04303671419620514, 0.1532234251499176, -0.02587343193590641, -0.17667502164840698, 0.061605263501405716, 0.06131632998585701, 0.015784233808517456, 0.07282627373933792, -0.03485266491770744, -0.15738548338413239, 0.1582130640745163, 0.0558491051197052, 0.21602396667003632, -0.21508115530014038, 0.296668142080307, -0.08148625493049622, 0.22633150219917297, 0.10586652159690857, -0.09529999643564224, 0.20879021286964417, -0.05663736164569855, -0.05622349679470062, 0.1359284520149231, -0.167024627327919, 0.0866653323173523, -0.030836431309580803, -0.17061695456504822, -0.23499079048633575, 0.11796276271343231, -0.1200813353061676, -0.05280628427863121, -0.07432550936937332, 0.07450801879167557, 0.09022186696529388, 0.1252126842737198, 0.3468935787677765, -0.09739666432142258, -0.06331717222929001, 0.22248902916908264, 0.3763341009616852, 0.13901621103286743, -0.013011420145630836, -0.02403024397790432, -0.083510622382164, -0.19287174940109253]"
was,"[0.15019844472408295, -0.029087480157613754, 0.09746558219194412, 0.1682945340871811, 0.08347645401954651, -0.15315991640090942, 0.12523126602172852, 0.5594986081123352, -0.40619996190071106, -0.13911843299865723, 0.029818585142493248, -0.285410076379776, 0.08890631049871445, 0.22910240292549133, 0.13297630846500397, -0.1996542364358902, -0.029550984501838684, -0.11600290983915329, -0.0775219276547432, -0.3464333713054657, 0.08626905828714371, -0.08166005462408066, 0.3200749456882477, -0.00891184713691473, 0.04604937508702278, -0.024246297776699066, -0.4558788537979126, -0.28592294454574585, -0.12112634629011154, -0.037414420396089554, 0.3557273745536804, -0.2143276035785675, 0.17549657821655273, -0.18370643258094788, 0.04182323068380356, 0.43693307042121887, -0.04802809655666351, 0.10977206379175186, -0.22460566461086273, -0.22356489300727844, -0.02914608269929886, -0.18870849907398224, -0.17827317118644714, -0.035579994320869446, -0.14919699728488922, 0.03665437921881676, -0.22552931308746338, -0.03342008590698242, 0.13396534323692322, 0.29536548256874084, 0.25194939970970154, -0.12886345386505127, -0.07799352705478668, 0.2907375395298004, -0.0885998085141182, -0.035539768636226654, 0.2199426144361496, 0.008168915286660194, -0.13216859102249146, 0.0671524927020073, 0.13042175769805908, 0.08519574999809265, 0.21815671026706696, -0.07711907476186752, -0.18453314900398254, 0.08952758461236954, 0.040310680866241455, 0.23195242881774902, -0.2996998727321625, 0.3293583393096924, -0.00026860725483857095, 0.1987953782081604, 0.08895731717348099, 0.09596419334411621, 0.23254922032356262, -0.03357110917568207, -0.2720772325992584, 0.24183571338653564, -0.2547856569290161, 0.09054628759622574, -0.07981164753437042, -0.18090274930000305, -0.21502530574798584, 0.0017618582351133227, -0.14020495116710663, -0.0490751750767231, -0.030657276511192322, 0.07052447646856308, 0.12912441790103912, 0.22133632004261017, 0.44683414697647095, -0.11282617598772049, -0.062310799956321716, 0.3636198043823242, 0.4255565106868744, 0.07268326729536057, -0.08635705709457397, 0.0273230392485857, -0.17423389852046967, -0.3226788341999054]"
is,"[0.031085288152098656, 0.09727480262517929, 0.0874369665980339, 0.03356381133198738, 0.044308800250291824, -0.12675324082374573, 0.12745301425457, 0.5500659942626953, -0.2709701657295227, -0.14686040580272675, -0.08589581400156021, -0.2922501564025879, 0.024364307522773743, 0.0010217300150543451, 0.10596215724945068, -0.06772924959659576, 0.14182481169700623, -0.0917222872376442, 0.020668914541602135, -0.3552076816558838, 0.18418236076831818, 0.05599043145775795, 0.33955955505371094, 0.06810566037893295, 0.040722038596868515, 0.00440095504745841, -0.18696773052215576, 0.015065634623169899, -0.28919103741645813, 0.06260956823825836, 0.2036336213350296, -0.2981484532356262, 0.3154718279838562, -0.19167864322662354, 0.019923409447073936, 0.21468353271484375, -0.04759629815816879, -0.10062842816114426, -0.26278817653656006, -0.19581522047519684, -0.008033009245991707, -0.1078248918056488, -0.1443043202161789, -0.11129075288772583, -0.019506243988871574, -0.23621462285518646, -0.2339046597480774, -0.07496421039104462, 0.1899881511926651, 0.21737638115882874, 0.017881225794553757, -0.2960871756076813, -0.11249390989542007, -0.018194302916526794, 0.006858272012323141, 0.05654081702232361, 0.012515109963715076, -0.04167144000530243, -0.13014011085033417, 0.023044833913445473, 0.11295147240161896, -0.026636740192770958, 0.018333321437239647, 0.08393585681915283, -0.17113430798053741, 0.3860473036766052, 0.11773336678743362, 0.23167124390602112, -0.2731412351131439, 0.3109256625175476, -0.017367221415042877, 0.1973283588886261, 0.21508081257343292, -0.057609204202890396, 0.24604201316833496, 0.039652686566114426, 0.08336383104324341, 0.020177818834781647, -0.14581231772899628, 0.2192785143852234, -0.10996885597705841, -0.12962640821933746, -0.32807639241218567, 0.3422992527484894, -0.10789762437343597, -0.05297595635056496, 0.13049735128879547, 0.0869164988398552, 0.14566531777381897, 0.07465343177318573, 0.3640363812446594, -0.04534577578306198, -0.02719571441411972, 0.15002956986427307, 0.30586960911750793, 0.14784571528434753, 0.04493827745318413, 0.05097537487745285, -0.12409301847219467, -0.14693492650985718]"
an,"[-0.011289126239717007, 0.06586052477359772, 0.13304536044597626, 0.05226154625415802, 0.020484520122408867, -0.15704603493213654, 0.10601484775543213, 0.48492562770843506, -0.3030625283718109, -0.13307011127471924, -0.06550177186727524, -0.3280145823955536, -0.0007623843266628683, 0.06559722125530243, 0.08977089077234268, -0.11220968514680862, 0.07031488418579102, -0.11165400594472885, -0.040948446840047836, -0.33831503987312317, 0.123977430164814, -0.04574526473879814, 0.2889699339866638, 0.08551769703626633, 0.022519417107105255, -0.01597430929541588, -0.2307962030172348, -0.08392851054668427, -0.2005377560853958, 0.024110808968544006, 0.21617135405540466, -0.2111487239599228, 0.215622678399086, -0.1575489342212677, 0.039680033922195435, 0.2193424552679062, -0.02694578282535076, -0.10111828148365021, -0.2170695960521698, -0.2239999622106552, 0.01424396876245737, -0.16314485669136047, -0.16069799661636353, -0.06539088487625122, -0.04696130380034447, -0.17234240472316742, -0.23993004858493805, -0.0665963664650917, 0.17523592710494995, 0.2732079327106476, 0.08460919559001923, -0.27234959602355957, -0.05219043418765068, 0.08976060897111893, -0.03896968439221382, 0.04088752716779709, 0.07554967701435089, -0.045831989496946335, -0.13588404655456543, 0.06090720370411873, 0.0961257740855217, -0.016728157177567482, 0.030831916257739067, 0.01282498799264431, -0.18916884064674377, 0.2692086398601532, 0.10936765372753143, 0.2305617332458496, -0.2652713358402252, 0.29902055859565735, -0.05049765855073929, 0.20563317835330963, 0.18208277225494385, -0.060871902853250504, 0.19345340132713318, 0.06130555272102356, -0.018776830285787582, 0.07721607387065887, -0.15395362675189972, 0.1579291671514511, -0.07175810635089874, -0.1391860842704773, -0.23992955684661865, 0.21475078165531158, -0.08549949526786804, -0.036787137389183044, 0.034798864275217056, 0.07272574305534363, 0.1253689080476761, 0.11981484293937683, 0.3375731408596039, -0.07513590157032013, -0.0456027016043663, 0.17671185731887817, 0.34509339928627014, 0.13476067781448364, 0.005790675990283489, 0.020024867728352547, -0.07390499860048294, -0.15574397146701813]"
from,"[-0.08887108415365219, 0.03131001442670822, 0.12893350422382355, -0.016592184081673622, 0.03805728629231453, -0.13924099504947662, 0.04440015181899071, 0.4003935754299164, -0.24637821316719055, -0.12535299360752106, -0.06390289962291718, -0.30676376819610596, -0.052011363208293915, 0.12414435297250748, 0.10226178169250488, -0.11529358476400375, -0.04675958305597305, -0.12453943490982056, 0.05410710349678993, -0.2155424803495407, 0.08076418191194534, -0.08601434528827667, 0.23176893591880798, 0.08782518655061722, 0.0643680989742279, -0.07539243996143341, -0.26557692885398865, -0.20355290174484253, -0.15875151753425598, -0.03474849835038185, 0.2454608678817749, -0.18204982578754425, 0.11866085976362228, -0.06521561741828918, 0.11616883426904678, 0.220100536942482, -0.09920015186071396, -0.13711781799793243, -0.18478107452392578, -0.26909005641937256, 0.04015028476715088, -0.18620917201042175, -0.14410865306854248, -0.0025252869818359613, -0.07909237593412399, -0.07420842349529266, -0.279080331325531, -0.02699107490479946, 0.13783089816570282, 0.29327329993247986, 0.15356194972991943, -0.2917323112487793, 0.006783036049455404, 0.14176686108112335, -0.07588185369968414, 0.07822509109973907, 0.1117611825466156, -0.03183288127183914, -0.188948392868042, 0.01653813198208809, 0.04824874550104141, 0.03747546300292015, -0.07878875732421875, -0.04757276549935341, -0.18710599839687347, 0.14614632725715637, 0.1434078812599182, 0.180327907204628, -0.2073834091424942, 0.28859877586364746, -0.10040105879306793, 0.1998824030160904, 0.15987075865268707, -0.10624483972787857, 0.20713944733142853, 0.06483323872089386, -0.06236246973276138, 0.07920394092798233, -0.20876148343086243, 0.16112969815731049, -0.0016449004178866744, -0.16087912023067474, -0.19618186354637146, 0.16051341593265533, -0.05633174628019333, -0.02657478116452694, -0.09947706013917923, 0.10928010940551758, 0.055212512612342834, 0.13056161999702454, 0.36147797107696533, -0.07662221789360046, -0.10140126943588257, 0.2223246544599533, 0.36235663294792175, 0.17166569828987122, 0.017069606110453606, -0.03368952497839928, -0.01916566677391529, -0.1678132712841034]"
